alpha;sin;cos;
0;0;1;
5;0.087155743;0.996194698;
10;0.173648178;0.984807753;
15;0.258819045;0.965925826;
20;0.342020143;0.939692621;
25;0.422618262;0.906307787;
30;0.5;0.866025404;
35;0.573576436;0.819152044;
40;0.64278761;0.766044443;
45;0.707106781;0.707106781;
50;0.766044443;0.64278761;
55;0.819152044;0.573576436;
60;0.866025404;0.5;
65;0.906307787;0.422618262;
70;0.939692621;0.342020143;
75;0.965925826;0.258819045;
80;0.984807753;0.173648178;
85;0.996194698;0.087155743;
90;1;6.12574E-17;
95;0.996194698;-0.087155743;
100;0.984807753;-0.173648178;
105;0.965925826;-0.258819045;
110;0.939692621;-0.342020143;
115;0.906307787;-0.422618262;
120;0.866025404;-0.5;
125;0.819152044;-0.573576436;
130;0.766044443;-0.64278761;
135;0.707106781;-0.707106781;
140;0.64278761;-0.766044443;
145;0.573576436;-0.819152044;
150;0.5;-0.866025404;
155;0.422618262;-0.906307787;
160;0.342020143;-0.939692621;
165;0.258819045;-0.965925826;
170;0.173648178;-0.984807753;
175;0.087155743;-0.996194698;
180;1.23E-16;-1;
185;-0.087155743;-0.996194698;
190;-0.173648178;-0.984807753;
195;-0.258819045;-0.965925826;
200;-0.342020143;-0.939692621;
205;-0.422618262;-0.906307787;
210;-0.5;-0.866025404;
215;-0.573576436;-0.819152044;
220;-0.64278761;-0.766044443;
225;-0.707106781;-0.707106781;
230;-0.766044443;-0.64278761;
235;-0.819152044;-0.573576436;
240;-0.866025404;-0.5;
245;-0.906307787;-0.422618262;
250;-0.939692621;-0.342020143;
255;-0.965925826;-0.258819045;
260;-0.984807753;-0.173648178;
265;-0.996194698;-0.087155743;
270;-1;-1.83772E-16;
275;-0.996194698;0.087155743;
280;-0.984807753;0.173648178;
285;-0.965925826;0.258819045;
290;-0.939692621;0.342020143;
295;-0.906307787;0.422618262;
300;-0.866025404;0.5;
305;-0.819152044;0.573576436;
310;-0.766044443;0.64278761;
315;-0.707106781;0.707106781;
320;-0.64278761;0.766044443;
325;-0.573576436;0.819152044;
330;-0.5;0.866025404;
335;-0.422618262;0.906307787;
340;-0.342020143;0.939692621;
345;-0.258819045;0.965925826;
350;-0.173648178;0.984807753;
355;-0.087155743;0.996194698;
360;-2.45E-16;1;
